Player,Year,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC
Drew Brees,2018,NO,15,1,1,1,0.1,1,0,0,1,3
Michael Burton,2018,CHI,8,1,6,6,0.8,6,0,1,1,6
Damiere Byrd,2018,CAR,8,1,8,8,1,8,0,1,2,1
Travaris Cadet,2018,CAR,1,1,5,5,5,5,0,0,1,4
Derek Carr,2018,OAK,16,1,-9,-9,-0.6,-9,0,0,1,-9
Jehu Chesson,2018,WAS,12,1,7,7,0.6,7,0,1,2,0
Sammie Coates,2018,HOU,12,1,12,12,1,12,0,1,2,5
Kirk Cousins,2018,MIN,16,1,-1,-1,-0.1,-1,0,0,1,6
River Cracraft,2018,DEN,8,1,44,44,5.5,44,0,1,2,7
Dane Cruikshank,2018,TEN,12,1,66,66,5.5,66t,1,1,1,49
Sean Culkin,2018,LAC,13,1,24,24,1.9,24,0,1,1,0
Benny Cunningham,2018,CHI,15,1,9,9,0.6,9,0,1,2,13
Chase Daniel,2018,CHI,5,1,8,8,1.6,8,0,1,1,14
Dion Dawkins,2018,BUF,16,1,7,7,0.4,7t,1,1,1,0
Taylor Decker,2018,DET,16,1,11,11,0.7,11t,1,1,1,10
Gehrig Dieter,2018,KC,4,1,22,22,5.5,22,0,1,3,13
George Fant,2018,SEA,16,1,9,9,0.6,9,0,0,1,9
Matt Flanagan,2018,WAS,3,1,14,14,4.7,14,0,1,1,7
Nick Foles,2018,PHI,5,1,10,10,2,15,0,1,1,2
Shelton Gibson,2018,PHI,15,1,48,48,3.2,48,0,1,3,0
Mike Gillislee,2018,NO,4,1,9,9,2.2,9,0,0,1,9
Justin Hardee,2018,NO,16,1,10,10,0.6,10,0,1,1,2
Keon Hatcher,2018,OAK,3,1,8,8,2.7,8,0,0,2,8
Ryan Hewitt,2018,IND,12,1,1,1,0.1,1t,1,1,2,0
Darrius Heyward-Bey,2018,PIT,14,1,9,9,0.6,9,0,0,2,10
Brian Hill,2018,ATL,10,1,9,9,0.9,9,0,0,2,5
Jeremy Hill,2018,NE,1,1,6,6,6,6,0,0,1,5
J.J. Jones,2018,NYJ,1,1,3,3,3,3,0,0,1,1
Ryan Kelly,2018,IND,12,1,-4,-4,-0.3,-4,0,0,1,-1
Marcus Kemp,2018,KC,16,1,7,7,0.4,7,0,0,2,8
Darvin Kidsy,2018,WAS,2,1,8,8,4,8,0,1,2,2
Allen Lazard,2018,GB,1,1,7,7,7,7,0,0,1,0
Khari Lee,2018,BUF,2,1,5,5,2.5,5,0,0,1,6
Andrew Luck,2018,IND,16,1,4,4,0.2,4,0,1,2,0
Josh Malone,2018,CIN,9,1,12,12,1.3,12,0,1,5,0
Marcus Mariota,2018,TEN,14,1,21,21,1.5,21,0,1,1,11
John Mundt,2018,LA,10,1,5,5,0.5,5,0,0,1,5
Cam Phillips,2018,BUF,2,1,9,9,4.5,9,0,0,1,7
Spencer Pulley,2018,NYG,13,1,-2,-2,-0.1,-2,0,0,1,0
Richard Rodgers,2018,PHI,7,1,7,7,1,7,0,1,1,9
Ben Roethlisberger,2018,PIT,16,1,-1,-1,-0.1,-1,0,0,1,-1
Matt Ryan,2018,ATL,16,1,5,5,0.3,5t,1,1,1,4
Matt Schaub,2018,ATL,3,1,-7,-7,-2.3,-7,0,0,1,0
Sam Shields,2018,LA,16,1,12,12,0.8,12,0,1,1,6
Bradley Sowell,2018,CHI,16,1,2,2,0.1,2t,1,1,2,0
Joe Staley,2018,SF,16,1,-5,-5,-0.3,-5,0,0,1,5
Tyrone Swoopes,2018,SEA,1,1,23,23,23,23,0,1,1,15
Ryan Tannehill,2018,MIA,11,1,3,3,0.3,3t,1,1,1,1
Robert Turbin,2018,IND,2,1,3,3,1.5,3,0,0,2,3
Alejandro Villanueva,2018,PIT,16,1,2,2,0.1,2t,1,1,1,0
Dan Vitale,2018,GB,5,1,2,2,0.4,2,0,1,2,0
DeAndre Washington,2018,OAK,10,1,9,9,0.9,9,0,0,1,7
Justin Watson,2018,TB,12,1,5,5,0.4,5,0,0,3,0
Derek Watt,2018,LAC,16,1,2,2,0.1,2,0,0,1,2
Carson Wentz,2018,PHI,11,1,4,4,0.4,4,0,1,1,9
Tim White,2018,BAL,3,1,14,14,4.7,14,0,1,1,0
Jonathan Williams,2018,NO,3,1,1,1,0.3,1,0,0,1,0
Kyle Williams,2018,BUF,16,1,9,9,0.6,9,0,0,1,10
Russell Wilson,2018,SEA,16,1,-11,-11,-0.7,-11,0,0,1,-1
Brandon Zylstra,2018,MIN,16,1,23,23,1.4,23,0,1,2,8
Josh Allen,2018,BUF,12,0,0,0,0,0,0,0,1,0
Stacy Coley,2018,MIN,2,0,0,0,0,0,0,0,1,0
Pharoh Cooper,2018,LA,5,0,0,0,0,0,0,0,1,0
Mason Crosby,2018,GB,16,0,0,0,0,0,0,0,1,0
Jerome Cunningham,2018,DET,3,0,0,0,0,0,0,0,1,0
Darrell Daniels,2018,SEA/ARI,11,0,0,0,0,0,0,0,2,0
Geremy Davis,2018,LAC,14,0,0,0,0,0,0,0,1,0
Isaiah Ford,2018,MIA,1,0,0,0,0,0,0,0,1,0
Stephen Hauschka,2018,BUF,16,0,0,0,0,0,0,0,1,0
Johnny Holton,2018,OAK,1,0,0,0,0,0,0,0,1,0
Sam Hubbard,2018,CIN,16,0,0,0,0,0,0,0,1,0
Darius Jackson,2018,DAL,2,0,0,0,0,0,0,0,1,0
Lamar Jackson,2018,BAL,16,0,0,0,0,0,0,0,2,0
Taiwan Jones,2018,BUF,6,0,0,0,0,0,0,0,2,0
Chris Lacy,2018,DET,1,0,0,0,0,0,0,0,1,0
Jourdan Lewis,2018,DAL,15,0,0,0,0,0,0,0,1,0
Freddie Martino,2018,TB,4,0,0,0,0,0,0,0,1,0
Baker Mayfield,2018,CLE,14,0,0,0,0,0,0,0,1,0
Riley McCarron,2018,NE,1,0,0,0,0,0,0,0,1,0
J.D. McKissic,2018,SEA,5,0,0,0,0,0,0,0,1,0
Dak Prescott,2018,DAL,16,0,0,0,0,0,0,0,1,0
Mike Wallace,2018,PHI,2,0,0,0,0,0,0,0,3,0
Cole Wick,2018,SF,5,0,0,0,0,0,0,0,1,0
Jarvis Landry,2017,MIA,16,112,987,8.81,61.7,49,9,60,161,498
Larry Fitzgerald,2017,ARI,16,109,"1,156",10.61,72.2,37,6,66,161,408
Michael Thomas,2017,NO,16,104,"1,245",11.97,77.8,43,5,70,149,425
Keenan Allen,2017,LAC,16,102,"1,393",13.66,87.1,51,6,74,159,501
Antonio Brown,2017,PIT,14,101,"1,533",15.18,109.5,57,9,71,163,481
DeAndre Hopkins,2017,HOU,15,96,"1,378",14.35,91.9,72t,13,69,174,359
Golden Tate,2017,DET,16,92,"1,003",10.9,62.7,71t,5,44,120,613
Adam Thielen,2017,MIN,16,91,"1,276",14.02,79.8,65t,4,59,142,447
Julio Jones,2017,ATL,16,88,"1,444",16.41,90.2,53,3,67,148,486
