Player,Year,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC,lg_yd0,lg_td0,names_year
Sterling Shepard,2019,NYG,10,57,576,10.11,57.6,36,3,29,83,179,36,0,Sterling Shepard 2019
Randall Cobb,2019,DAL,15,55,828,15.05,55.2,59,3,41,83,329,59,0,Randall Cobb 2019
Hunter Henry,2019,LAC,12,55,652,11.85,54.3,30t,5,36,76,159,30,1,Hunter Henry 2019
Ezekiel Elliott,2019,DAL,16,54,420,7.78,26.2,27,2,21,71,395,27,0,Ezekiel Elliott 2019
Curtis Samuel,2019,CAR,16,54,627,11.61,39.2,44,6,36,105,153,44,0,Curtis Samuel 2019
Dalvin Cook,2019,MIN,14,53,519,9.79,37.1,31,0,26,63,591,31,0,Dalvin Cook 2019
Robby Anderson,2019,NYJ,16,52,779,14.98,48.7,92t,5,35,96,193,92,1,Robby Anderson 2019
Saquon Barkley,2019,NYG,13,52,438,8.42,33.7,65,2,14,73,438,65,0,Saquon Barkley 2019
A.J. Brown,2019,TEN,16,52,1051,20.21,65.7,91t,8,39,84,465,91,1,A.J. Brown 2019
Anthony Miller,2019,CHI,16,52,656,12.62,41,35,2,34,85,217,35,0,Anthony Miller 2019
Greg Olsen,2019,CAR,14,52,597,11.48,42.6,41,2,34,82,201,41,0,Greg Olsen 2019
Sammy Watkins,2019,KC,14,52,673,12.94,48.1,68t,3,30,90,297,68,1,Sammy Watkins 2019
Mike Gesicki,2019,MIA,16,51,570,11.18,35.6,34,5,25,89,175,34,0,Mike Gesicki 2019
Kenyan Drake,2019,MIA/ARI,14,50,345,6.9,24.6,26,0,15,68,424,26,0,Kenyan Drake 2019
Miles Sanders,2019,PHI,16,50,509,10.18,31.8,45,3,19,63,413,45,0,Miles Sanders 2019
Will Fuller,2019,HOU,11,49,670,13.67,60.9,54,3,26,71,219,54,0,Will Fuller 2019
Russell Gage,2019,ATL,16,49,446,9.1,27.9,19,1,25,74,151,19,0,Russell Gage 2019
Aaron Jones,2019,GB,16,49,474,9.67,29.6,67t,3,18,68,437,67,1,Aaron Jones 2019
Hunter Renfrow,2019,OAK,13,49,605,12.35,46.5,65t,4,31,71,301,65,1,Hunter Renfrow 2019
Golden Tate,2019,NYG,11,49,676,13.8,61.5,64t,6,30,85,284,64,1,Golden Tate 2019
Mike Williams,2019,LAC,15,49,1001,20.43,66.7,56,2,41,90,187,56,0,Mike Williams 2019
Darius Slayton,2019,NYG,14,48,740,15.42,52.9,55t,8,32,84,192,55,1,Darius Slayton 2019
Chris Conley,2019,JAX,16,47,775,16.49,48.4,70t,5,36,90,240,70,1,Chris Conley 2019
Jaylen Samuels,2019,PIT,14,47,305,6.49,21.8,27,1,19,57,366,27,0,Jaylen Samuels 2019
Marquise Brown,2019,BAL,14,46,584,12.7,41.7,83t,7,24,71,226,83,1,Marquise Brown 2019
T.Y. Hilton,2019,IND,10,45,501,11.13,50.1,35,5,24,68,213,35,0,T.Y. Hilton 2019
Evan Engram,2019,NYG,8,44,467,10.61,58.4,75t,3,23,68,252,75,1,Evan Engram 2019
Nyheim Hines,2019,IND,16,44,320,7.27,20,21,0,15,58,315,21,0,Nyheim Hines 2019
Duke Johnson,2019,HOU,16,44,410,9.32,25.6,21,3,18,62,361,21,0,Duke Johnson 2019
James Washington,2019,PIT,15,44,735,16.7,49,79t,3,31,80,185,79,1,James Washington 2019
Jared Cook,2019,NO,14,43,705,16.4,50.4,61t,9,32,65,254,61,1,Jared Cook 2019
Corey Davis,2019,TEN,15,43,601,13.98,40.1,38,2,33,69,217,38,0,Corey Davis 2019
Jack Doyle,2019,IND,16,43,448,10.42,28,23,4,29,72,216,23,0,Jack Doyle 2019
Tyler Eifert,2019,CIN,16,43,436,10.14,27.2,27,3,24,63,112,27,0,Tyler Eifert 2019
Alex Erickson,2019,CIN,16,43,529,12.3,33.1,52,0,26,78,227,52,0,Alex Erickson 2019
Royce Freeman,2019,DEN,16,43,256,5.95,16,19,1,10,50,259,19,0,Royce Freeman 2019
Alshon Jeffery,2019,PHI,10,43,490,11.4,49,38,4,36,73,116,38,0,Alshon Jeffery 2019
Albert Wilson,2019,MIA,13,43,351,8.16,27,35,1,22,62,179,35,0,Albert Wilson 2019
Brandin Cooks,2019,LA,14,42,583,13.88,41.6,57,2,32,72,169,57,0,Brandin Cooks 2019
Melvin Gordon,2019,LAC,12,42,296,7.05,24.7,25,1,11,55,321,25,0,Melvin Gordon 2019
JuJu Smith-Schuster,2019,PIT,12,42,552,13.14,46,76t,3,23,70,222,76,1,JuJu Smith-Schuster 2019
Chris Thompson,2019,WAS,11,42,378,9,34.4,39,0,16,58,337,39,0,Chris Thompson 2019
Tyrell Williams,2019,OAK,14,42,651,15.5,46.5,46t,6,33,64,190,46,1,Tyrell Williams 2019
Jacob Hollister,2019,SEA,11,41,349,8.51,31.7,22,3,16,59,169,22,0,Jacob Hollister 2019
Zach Pascal,2019,IND,16,41,607,14.8,37.9,37,5,29,72,239,37,0,Zach Pascal 2019
Noah Fant,2019,DEN,16,40,562,14.05,35.1,75t,3,23,66,330,75,1,Noah Fant 2019
Kenny Stills,2019,HOU,13,40,561,14.03,43.1,45,4,27,55,144,45,0,Kenny Stills 2019
Auden Tate,2019,CIN,12,40,575,14.38,47.9,33,1,29,80,134,33,0,Auden Tate 2019
Nelson Agholor,2019,PHI,11,39,363,9.31,33,43,3,17,69,132,43,0,Nelson Agholor 2019
Kyle Rudolph,2019,MIN,16,39,367,9.41,22.9,32t,6,24,48,190,32,1,Kyle Rudolph 2019
Jamaal Williams,2019,GB,14,39,253,6.49,18.1,17,5,16,45,279,17,0,Jamaal Williams 2019
Jimmy Graham,2019,GB,16,38,447,11.76,27.9,48,3,23,60,246,48,0,Jimmy Graham 2019
Vance McDonald,2019,PIT,14,38,273,7.18,19.5,22,3,12,55,172,22,0,Vance McDonald 2019
Chris Carson,2019,SEA,15,37,266,7.19,17.7,21,2,10,47,317,21,0,Chris Carson 2019
Gerald Everett,2019,LA,13,37,408,11.03,31.4,33,2,22,60,178,33,0,Gerald Everett 2019
Adam Humphries,2019,TEN,12,37,374,10.11,31.2,30,2,20,47,120,30,0,Adam Humphries 2019
Kareem Hunt,2019,CLE,8,37,285,7.7,35.6,29,1,17,44,276,29,0,Kareem Hunt 2019
Jordan Akins,2019,HOU,16,36,418,11.61,26.1,53t,2,21,55,246,53,1,Jordan Akins 2019
Cameron Brate,2019,TB,16,36,311,8.64,19.4,37,4,21,55,90,37,0,Cameron Brate 2019
Nick Chubb,2019,CLE,16,36,278,7.72,17.4,32,0,13,49,318,32,0,Nick Chubb 2019
David Johnson,2019,ARI,13,36,370,10.28,28.5,31,4,17,47,226,31,0,David Johnson 2019
Breshad Perriman,2019,TB,14,36,645,17.92,46.1,44,6,29,69,127,44,0,Breshad Perriman 2019
Jalen Richard,2019,OAK,16,36,323,8.97,20.2,33,0,15,43,236,33,0,Jalen Richard 2019
Irv Smith,2019,MIN,16,36,311,8.64,19.4,29,2,17,47,136,29,0,Irv Smith 2019
Demaryius Thomas,2019,NYJ,11,36,433,12.03,39.4,47,1,22,58,170,47,0,Demaryius Thomas 2019
DeAndre Washington,2019,OAK,16,36,292,8.11,18.2,28,0,10,41,246,28,0,DeAndre Washington 2019
Allen Lazard,2019,GB,16,35,477,13.63,29.8,43,3,24,52,131,43,0,Allen Lazard 2019
Phillip Lindsay,2019,DEN,16,35,196,5.6,12.2,36,0,9,48,243,36,0,Phillip Lindsay 2019
Joe Mixon,2019,CIN,16,35,287,8.2,17.9,33,3,14,45,331,33,0,Joe Mixon 2019
Dare Ogunbowale,2019,TB,16,35,286,8.17,17.9,21,0,14,46,207,21,0,Dare Ogunbowale 2019
Jonnu Smith,2019,TEN,16,35,439,12.54,27.4,57,3,16,44,273,57,0,Jonnu Smith 2019
Geronimo Allison,2019,GB,16,34,287,8.44,17.9,31,2,16,55,110,31,0,Geronimo Allison 2019
James Conner,2019,PIT,10,34,251,7.38,25.1,26t,3,14,38,298,26,1,James Conner 2019
Darren Fells,2019,HOU,16,34,341,10.03,21.3,24,7,22,48,168,24,0,Darren Fells 2019
Ryan Griffin,2019,NYJ,13,34,320,9.41,24.6,45,5,19,41,182,45,0,Ryan Griffin 2019
O.J. Howard,2019,TB,14,34,459,13.5,32.8,33,1,23,53,150,33,0,O.J. Howard 2019
J.D. McKissic,2019,DET,16,34,233,6.85,14.6,26t,1,7,42,237,26,1,J.D. McKissic 2019
Latavius Murray,2019,NO,16,34,235,6.91,14.7,30,1,9,43,284,30,0,Latavius Murray 2019
Steven Sims,2019,WAS,16,34,310,9.12,19.4,65,4,18,56,172,65,0,Steven Sims 2019
Damiere Byrd,2019,ARI,11,32,359,11.22,32.6,58,1,16,46,150,58,0,Damiere Byrd 2019
T.J. Hockenson,2019,DET,12,32,367,11.47,30.6,39,2,19,59,200,39,0,T.J. Hockenson 2019
