Player,Year,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC,lg_yd0,lg_td0,names_year
Seth Devalve,2019,JAX,12,12,140,11.67,11.7,20,0,7,18,61,20,0,Seth Devalve 2019
Chase Edmonds,2019,ARI,13,12,105,8.75,8.1,31,1,5,21,105,31,0,Chase Edmonds 2019
Marquise Goodwin,2019,SF,9,12,186,15.5,20.7,38t,1,10,21,33,38,1,Marquise Goodwin 2019
N'Keal Harry,2019,NE,7,12,105,8.75,15,18,2,7,24,42,18,0,N'Keal Harry 2019
Dontrell Hilliard,2019,CLE,14,12,92,7.67,6.6,19,0,4,15,103,19,0,Dontrell Hilliard 2019
Dontrelle Inman,2019,LAC/IND,7,12,181,15.08,25.9,28,0,9,21,30,28,0,Dontrelle Inman 2019
Jake Kumerow,2019,GB,14,12,219,18.25,15.6,49,1,8,21,85,49,0,Jake Kumerow 2019
Sony Michel,2019,NE,16,12,94,7.83,5.9,19,0,7,20,121,19,0,Sony Michel 2019
Byron Pringle,2019,KC,16,12,170,14.17,10.6,28,1,7,16,63,28,0,Byron Pringle 2019
Damion Ratley,2019,CLE,13,12,200,16.67,15.4,46t,1,11,24,47,46,1,Damion Ratley 2019
D'haquille Williams,2019,BUF,4,12,166,13.83,41.5,41,1,8,19,50,41,0,D'haquille Williams 2019
Christian Blake,2019,ATL,9,11,91,8.27,10.1,13,0,5,24,24,13,0,Christian Blake 2019
DeAndre Carter,2019,HOU,16,11,162,14.73,10.1,46,0,6,14,57,46,0,DeAndre Carter 2019
Keelan Doss,2019,OAK,8,11,133,12.09,16.6,31,0,6,14,57,31,0,Keelan Doss 2019
Wayne Gallman,2019,NYG,10,11,102,9.27,10.2,21,1,4,15,104,21,0,Wayne Gallman 2019
Travis Homer,2019,SEA,16,11,56,5.09,3.5,11,0,3,13,60,11,0,Travis Homer 2019
Cordarrelle Patterson,2019,CHI,16,11,83,7.55,5.2,33,0,3,17,72,33,0,Cordarrelle Patterson 2019
Dante Pettis,2019,SF,11,11,109,9.91,9.9,21t,2,7,24,23,21,1,Dante Pettis 2019
Ito Smith,2019,ATL,7,11,87,7.91,12.4,11,0,2,14,72,11,0,Ito Smith 2019
J.J. Arcega-Whiteside,2019,PHI,16,10,169,16.9,10.6,30,1,7,22,16,30,0,J.J. Arcega-Whiteside 2019
Vernon Davis,2019,WAS,4,10,123,12.3,30.8,48t,1,4,19,80,48,1,Vernon Davis 2019
Brian Hill,2019,ATL,12,10,69,6.9,5.8,12,1,4,14,54,12,0,Brian Hill 2019
Mack Hollins,2019,PHI/MIA,16,10,125,12.5,7.8,20,0,7,23,33,20,0,Mack Hollins 2019
Jordan Howard,2019,PHI,10,10,69,6.9,6.9,20t,1,3,14,69,20,1,Jordan Howard 2019
Carlos Hyde,2019,HOU,16,10,42,4.2,2.6,14,0,2,16,51,14,0,Carlos Hyde 2019
Kerryon Johnson,2019,DET,8,10,127,12.7,15.9,36t,1,7,15,116,36,1,Kerryon Johnson 2019
Alexander Mattison,2019,MIN,13,10,82,8.2,6.3,17,0,3,12,74,17,0,Alexander Mattison 2019
C.J. Prosise,2019,SEA,9,10,76,7.6,8.4,21,0,3,12,66,21,0,C.J. Prosise 2019
Robert Tonyan,2019,GB,11,10,100,10,9.1,28,1,4,15,26,28,0,Robert Tonyan 2019
Andrew Beck,2019,DEN,16,9,90,10,5.6,29,1,6,12,67,29,0,Andrew Beck 2019
Brandon Bolden,2019,NE,15,9,111,12.33,7.4,29t,1,6,11,59,29,1,Brandon Bolden 2019
Deon Cain,2019,IND/PIT,13,9,124,13.78,9.5,35,0,7,20,22,35,0,Deon Cain 2019
Jaeden Graham,2019,ATL,16,9,149,16.56,9.3,53,1,7,10,73,53,0,Jaeden Graham 2019
Virgil Green,2019,LAC,15,9,78,8.67,5.2,15,1,4,13,39,15,0,Virgil Green 2019
Andy Isabella,2019,ARI,15,9,189,21,12.6,88t,1,4,13,140,88,1,Andy Isabella 2019
DeSean Jackson,2019,PHI,3,9,159,17.67,53,53t,2,6,10,15,53,1,DeSean Jackson 2019
Justin Jackson,2019,LAC,7,9,22,2.44,3.1,9,0,0,11,38,9,0,Justin Jackson 2019
Joshua Perkins,2019,PHI,5,9,87,9.67,17.4,24t,1,5,13,26,24,1,Joshua Perkins 2019
Kalif Raymond,2019,TEN,8,9,170,18.89,21.2,52,1,6,12,14,52,0,Kalif Raymond 2019
Adam Shaheen,2019,CHI,8,9,74,8.22,9.2,18,0,3,13,38,18,0,Adam Shaheen 2019
Wendell Smallwood,2019,WAS,15,9,64,7.11,4.3,18,0,4,13,50,18,0,Wendell Smallwood 2019
Darwin Thompson,2019,KC,12,9,43,4.78,3.6,19,0,2,10,62,19,0,Darwin Thompson 2019
Laquon Treadwell,2019,MIN,13,9,184,20.44,14.2,58t,1,8,16,57,58,1,Laquon Treadwell 2019
Damion Willis,2019,CIN,10,9,82,9.11,8.2,17,0,3,16,16,17,0,Damion Willis 2019
Mo Alie-Cox,2019,IND,16,8,93,11.63,5.8,21,0,5,11,60,21,0,Mo Alie-Cox 2019
Dan Arnold,2019,NO/ARI,5,8,127,15.88,25.4,37,2,6,14,29,37,0,Dan Arnold 2019
Blake Bell,2019,KC,15,8,67,8.38,4.5,30,0,3,15,9,30,0,Blake Bell 2019
Antonio Callaway,2019,CLE,4,8,89,11.13,22.2,41,0,3,15,44,41,0,Antonio Callaway 2019
Tyler Conklin,2019,MIN,15,8,58,7.25,3.9,20,0,2,10,18,20,0,Tyler Conklin 2019
Trevor Davis,2019,GB/OAK,11,8,111,13.88,10.1,28,0,4,11,65,28,0,Trevor Davis 2019
Hale Hentges,2019,WAS,11,8,103,12.88,9.4,24,1,6,14,47,24,0,Hale Hentges 2019
Justice Hill,2019,BAL,16,8,70,8.75,4.4,14,0,5,15,81,14,0,Justice Hill 2019
Chris Hogan,2019,CAR,7,8,67,8.38,9.6,13,0,3,15,29,13,0,Chris Hogan 2019
Jesper Horsted,2019,CHI,6,8,87,10.88,14.5,20,1,4,10,30,20,0,Jesper Horsted 2019
Rashaad Penny,2019,SEA,10,8,83,10.38,8.3,30,1,3,11,91,30,0,Rashaad Penny 2019
Patrick Ricard,2019,BAL,16,8,47,5.88,2.9,10,1,3,11,52,10,0,Patrick Ricard 2019
Luke Stocker,2019,ATL,15,8,53,6.63,3.5,18,0,2,14,36,18,0,Luke Stocker 2019
Tommy Sweeney,2019,BUF,6,8,114,14.25,19,29,0,4,13,38,29,0,Tommy Sweeney 2019
Ryan Switzer,2019,PIT,9,8,27,3.38,3,8,0,2,11,17,8,0,Ryan Switzer 2019
Luke Willson,2019,SEA,8,8,79,9.88,9.9,17,0,5,10,38,17,0,Luke Willson 2019
Brandon Zylstra,2019,CAR,8,8,106,13.25,13.2,40,0,5,12,10,40,0,Brandon Zylstra 2019
Daniel Brown,2019,NYJ,16,7,72,10.29,4.5,24,1,4,11,21,24,0,Daniel Brown 2019
Mike Davis,2019,CHI,7,7,22,3.14,3.1,7,0,1,8,27,7,0,Mike Davis 2019
Gus Edwards,2019,BAL,16,7,45,6.43,2.8,10,0,2,7,45,10,0,Gus Edwards 2019
Myles Gaskin,2019,MIA,7,7,51,7.29,7.3,20,0,2,12,46,20,0,Myles Gaskin 2019
Derrius Guice,2019,WAS,5,7,79,11.29,15.8,45t,1,2,9,86,45,1,Derrius Guice 2019
Marvin Hall,2019,DET,9,7,261,37.29,29,58,1,7,11,36,58,0,Marvin Hall 2019
J.P. Holtz,2019,CHI,14,7,91,13,6.5,30,0,4,8,79,30,0,J.P. Holtz 2019
Bilal Powell,2019,NYJ,13,7,33,4.71,2.5,9,0,0,12,45,9,0,Bilal Powell 2019
Durham Smythe,2019,MIA,16,7,65,9.29,4.1,24,0,2,14,10,24,0,Durham Smythe 2019
Dan Vitale,2019,GB,15,7,97,13.86,6.5,27,0,3,12,56,27,0,Dan Vitale 2019
Jordan Wilkins,2019,IND,14,7,43,6.14,3.1,11,0,1,11,32,11,0,Jordan Wilkins 2019
Kenjon Barner,2019,ATL,14,6,22,3.67,1.6,13,0,1,8,27,13,0,Kenjon Barner 2019
Travis Benjamin,2019,LAC,5,6,30,5,6,13,0,3,16,19,13,0,Travis Benjamin 2019
Braxton Berrios,2019,NYJ,16,6,115,19.17,7.2,69,0,3,13,87,69,0,Braxton Berrios 2019
Reggie Bonnafon,2019,CAR,16,6,57,9.5,3.6,32,0,1,9,52,32,0,Reggie Bonnafon 2019
Devontae Booker,2019,DEN,16,6,57,9.5,3.6,25,0,1,9,44,25,0,Devontae Booker 2019
Ben Braunecker,2019,CHI,11,6,59,9.83,5.4,18t,1,5,11,25,18,1,Ben Braunecker 2019
Trey Edmunds,2019,PIT,11,6,48,8,4.4,11,0,2,7,42,11,0,Trey Edmunds 2019
Troy Fumagalli,2019,DEN,11,6,38,6.33,3.5,9,1,1,9,14,9,0,Troy Fumagalli 2019
Deonte Harris,2019,NO,14,6,24,4,1.7,13,0,2,6,37,13,0,Deonte Harris 2019
Alec Ingold,2019,OAK,16,6,44,7.33,2.8,14,1,4,6,38,14,0,Alec Ingold 2019
Ryan Izzo,2019,NE,6,6,114,19,19,41,1,4,9,50,41,0,Ryan Izzo 2019
Richie James,2019,SF,16,6,165,27.5,10.3,57,1,5,10,103,57,0,Richie James 2019
D'Ernest Johnson,2019,CLE,16,6,71,11.83,4.4,27,0,1,7,43,27,0,D'Ernest Johnson 2019
Tyler Kroft,2019,BUF,11,6,71,11.83,6.5,20,1,5,14,27,20,0,Tyler Kroft 2019
Zach Line,2019,NO,12,6,36,6,3,12,0,1,10,45,12,0,Zach Line 2019
Andre Patton,2019,LAC,13,6,56,9.33,4.3,15,0,4,17,28,15,0,Andre Patton 2019
MyCole Pruitt,2019,TEN,16,6,90,15,5.6,42,1,4,8,65,42,0,MyCole Pruitt 2019
Riley Ridley,2019,CHI,5,6,69,11.5,13.8,32,0,4,7,15,32,0,Riley Ridley 2019
Diontae Spencer,2019,DEN,16,6,31,5.17,1.9,20,0,1,8,33,20,0,Diontae Spencer 2019
Darren Sproles,2019,PHI,6,6,24,4,4,7,0,1,10,25,7,0,Darren Sproles 2019
Marcell Ateman,2019,OAK,11,5,116,23.2,10.6,36,0,3,10,19,36,0,Marcell Ateman 2019
Stephen Carlson,2019,CLE,9,5,51,10.2,5.7,21,1,2,7,21,21,0,Stephen Carlson 2019
Patrick DiMarco,2019,BUF,16,5,41,8.2,2.6,27,0,1,7,31,27,0,Patrick DiMarco 2019
Andy Janovich,2019,DEN,7,5,42,8.4,6,22,0,1,5,33,22,0,Andy Janovich 2019
David Njoku,2019,CLE,4,5,41,8.2,10.2,18,1,3,10,16,18,0,David Njoku 2019
Drew Sample,2019,CIN,9,5,30,6,3.3,21,0,1,6,13,21,0,Drew Sample 2019
Devin Smith,2019,DAL,4,5,113,22.6,28.2,51t,1,4,9,32,51,1,Devin Smith 2019
Spencer Ware,2019,KC,3,5,22,4.4,7.3,18,0,1,7,15,18,0,Spencer Ware 2019
Jonathan Williams,2019,IND,9,5,59,11.8,6.6,31,0,3,5,64,31,0,Jonathan Williams 2019
Cedrick Wilson,2019,DAL,6,5,46,9.2,7.7,14,0,2,8,11,14,0,Cedrick Wilson 2019
Nick Bawden,2019,DET,10,4,17,4.25,1.7,10,0,1,6,20,10,0,Nick Bawden 2019
Khari Blasingame,2019,TEN,6,4,54,13.5,9,24,0,2,5,33,24,0,Khari Blasingame 2019
Antonio Brown,2019,NE,1,4,56,14,56,20t,1,3,8,7,20,1,Antonio Brown 2019
Tra Carson,2019,GB,2,4,18,4.5,9,8,0,0,4,14,8,0,Tra Carson 2019
Michael Crabtree,2019,ARI,2,4,22,5.5,11,9,0,0,5,5,9,0,Michael Crabtree 2019
Ryan Grant,2019,OAK,2,4,14,3.5,7,9,0,1,9,5,9,0,Ryan Grant 2019
Darrell Henderson,2019,LA,13,4,37,9.25,2.9,14,0,1,6,37,14,0,Darrell Henderson 2019
Rashard Higgins,2019,CLE,10,4,55,13.75,5.5,35,1,3,11,9,35,0,Rashard Higgins 2019
Khadarel Hodge,2019,CLE,16,4,76,19,4.8,41,0,3,10,9,41,0,Khadarel Hodge 2019
Tevin Jones,2019,PIT,5,4,61,15.25,12.2,28,0,1,10,11,28,0,Tevin Jones 2019
Jordan Matthews,2019,PHI,2,4,33,8.25,16.5,10,0,1,12,7,10,0,Jordan Matthews 2019
Donte Moncrief,2019,PIT,5,4,18,4.5,3.6,11,0,1,15,3,11,0,Donte Moncrief 2019
John Mundt,2019,LA,13,4,26,6.5,2,9,0,1,7,10,9,0,John Mundt 2019
J.J. Nelson,2019,OAK,2,4,36,9,18,29t,1,1,5,15,29,1,J.J. Nelson 2019
Trent Sherfield,2019,ARI,16,4,80,20,5,38,0,4,13,10,38,0,Trent Sherfield 2019
Lee Smith,2019,BUF,16,4,31,7.75,1.9,9,1,2,5,9,9,0,Lee Smith 2019
Ross Travis,2019,IND,3,4,51,12.75,17,25,0,1,6,31,25,0,Ross Travis 2019
Clive Walford,2019,MIA,7,4,57,14.25,8.1,19,0,4,8,27,19,0,Clive Walford 2019
DeAndrew White,2019,CAR,10,4,51,12.75,5.1,18,0,3,9,28,18,0,DeAndrew White 2019
Mike Boone,2019,MIN,16,3,17,5.67,1.1,7,0,0,4,26,7,0,Mike Boone 2019
Cody Core,2019,NYG,16,3,28,9.33,1.8,11,0,2,5,3,11,0,Cody Core 2019
Geremy Davis,2019,LAC,7,3,38,12.67,5.4,19,0,1,3,2,19,0,Geremy Davis 2019
Robert Foster,2019,BUF,13,3,64,21.33,4.9,24,0,3,18,32,24,0,Robert Foster 2019
Devin Funchess,2019,IND,1,3,32,10.67,32,16,0,2,5,6,16,0,Devin Funchess 2019
Jon Hilliman,2019,NYG,3,3,1,0.33,0.3,5,0,0,4,10,5,0,Jon Hilliman 2019
Johnny Holton,2019,PIT,16,3,21,7,1.3,18,0,1,15,10,18,0,Johnny Holton 2019
T.J. Jones,2019,NYG,3,3,38,12.67,12.7,28,1,2,4,23,28,0,T.J. Jones 2019
Lance Kendricks,2019,LAC,12,3,50,16.67,4.2,24,0,3,7,7,24,0,Lance Kendricks 2019
Chris Lacy,2019,DET,7,3,60,20,8.6,48,0,2,10,9,48,0,Chris Lacy 2019
Marqise Lee,2019,JAX,6,3,18,6,3,8,0,2,4,5,8,0,Marqise Lee 2019
Chris Moore,2019,BAL,14,3,21,7,1.5,13,0,0,5,10,13,0,Chris Moore 2019
Stanley Morgan,2019,CIN,11,3,18,6,1.6,9,0,0,10,10,9,0,Stanley Morgan 2019
Josh Oliver,2019,JAX,4,3,15,5,3.8,6,0,0,6,5,6,0,Josh Oliver 2019
Devine Ozigbo,2019,JAX,10,3,23,7.67,2.3,12,0,1,5,20,12,0,Devine Ozigbo 2019
Andre Roberts,2019,BUF,13,3,20,6.67,1.5,7,0,1,7,5,7,0,Andre Roberts 2019
Russell Shepard,2019,NYG,3,3,25,8.33,8.3,12,0,1,8,13,12,0,Russell Shepard 2019
Benjamin Snell,2019,PIT,13,3,23,7.67,1.8,14,0,0,4,22,14,0,Benjamin Snell 2019
Derek Watt,2019,LAC,16,3,32,10.67,2,21,0,1,5,28,21,0,Derek Watt 2019
Jesus Wilson,2019,TB,6,3,35,11.67,5.8,14,0,2,11,3,14,0,Jesus Wilson 2019
Jeffery Wilson,2019,SF,10,3,34,11.33,3.4,25t,1,1,5,21,25,1,Jeffery Wilson 2019
Deon Yelder,2019,KC,9,3,50,16.67,5.6,24,0,2,4,32,24,0,Deon Yelder 2019
Olamide Zaccheaus,2019,ATL,10,3,115,38.33,11.5,93t,1,2,5,63,93,1,Olamide Zaccheaus 2019
Alex Armah,2019,CAR,16,2,6,3,0.4,4,0,0,2,7,4,0,Alex Armah 2019
Chad Beebe,2019,MIN,3,2,70,35,23.3,61,0,2,2,66,61,0,Chad Beebe 2019
Josh Bellamy,2019,NYJ,7,2,20,10,2.9,15,0,1,3,10,15,0,Josh Bellamy 2019
Nick Bellore,2019,SEA,14,2,23,11.5,1.6,20,1,2,2,21,20,0,Nick Bellore 2019
C.J. Board,2019,JAX,4,2,31,15.5,7.8,23,0,1,4,6,23,0,C.J. Board 2019
Fred Brown,2019,DEN,13,2,21,10.5,1.6,16,0,1,3,0,16,0,Fred Brown 2019
Malcolm Brown,2019,LA,14,2,16,8,1.1,10,0,0,6,7,10,0,Malcolm Brown 2019
Pharaoh Brown,2019,CLE,9,2,27,13.5,3,18,0,1,3,14,18,0,Pharaoh Brown 2019
Deontay Burnett,2019,PHI,1,2,48,24,48,41,0,1,4,6,41,0,Deontay Burnett 2019
Cethan Carter,2019,CIN,15,2,13,6.5,0.9,8t,1,2,3,5,8,1,Cethan Carter 2019
Robert Davis,2019,WAS/PHI,6,2,17,8.5,2.8,11,0,2,5,2,11,0,Robert Davis 2019
Ashton Dulin,2019,IND,13,2,17,8.5,1.3,13,0,0,2,23,13,0,Ashton Dulin 2019
Tyler Ervin,2019,GB,4,2,11,5.5,2.8,6,0,1,4,12,6,0,Tyler Ervin 2019
Rico Gafford,2019,OAK,4,2,66,33,16.5,49t,1,2,2,17,49,1,Rico Gafford 2019
Wes Hills,2019,DET,1,2,1,0.5,1,2,0,0,2,3,2,0,Wes Hills 2019
Alexander Hollins,2019,MIN,5,2,46,23,9.2,35,0,2,4,6,35,0,Alexander Hollins 2019
Cody Hollister,2019,TEN,5,2,13,6.5,2.6,11,0,0,2,3,11,0,Cody Hollister 2019
Tanner Hudson,2019,TB,9,2,26,13,2.9,14,0,1,5,2,14,0,Tanner Hudson 2019
Ishmael Hyman,2019,TB,2,2,34,17,17,31,0,2,4,1,31,0,Ishmael Hyman 2019
Darius Jennings,2019,TEN,8,2,17,8.5,2.1,11,0,2,5,14,11,0,Darius Jennings 2019
T.J. Logan,2019,TB,12,2,13,6.5,1.1,11,0,1,3,9,11,0,T.J. Logan 2019
Steven Mitchell,2019,HOU,3,2,37,18.5,12.3,21,0,2,6,14,21,0,Steven Mitchell 2019
Jason Moore,2019,LAC,10,2,43,21.5,4.3,32,0,2,5,6,32,0,Jason Moore 2019
Isaac Nauta,2019,DET,6,2,13,6.5,2.2,10,0,1,3,8,10,0,Isaac Nauta 2019
Roosevelt Nix,2019,PIT,3,2,4,2,1.3,4,0,0,3,9,4,0,Roosevelt Nix 2019
Gunner Olszewski,2019,NE,8,2,34,17,4.2,29,0,1,4,16,29,0,Gunner Olszewski 2019
Elijhaa Penny,2019,NYG,16,2,9,4.5,0.6,9,0,0,4,22,9,0,Elijhaa Penny 2019
Troymaine Pope,2019,LAC,14,2,14,7,1,13t,1,1,3,11,13,1,Troymaine Pope 2019
Eric Saubert,2019,CHI,2,2,21,10.5,10.5,11,0,1,3,18,11,0,Eric Saubert 2019
Da'Mari Scott,2019,NYG,5,2,22,11,4.4,11,0,2,3,14,11,0,Da'Mari Scott 2019
Anthony Sherman,2019,KC,16,2,22,11,1.4,15,0,2,3,23,15,0,Anthony Sherman 2019
Scott Simonson,2019,NYG,5,2,11,5.5,2.2,10,0,1,2,3,10,0,Scott Simonson 2019
Cam Sims,2019,WAS,7,2,27,13.5,3.9,15,0,1,3,8,15,0,Cam Sims 2019
Mike Thomas,2019,LA,16,2,14,7,0.9,9,0,1,5,10,9,0,Mike Thomas 2019
Levine Toilolo,2019,SF,13,2,10,5,0.8,8,0,0,2,13,8,0,Levine Toilolo 2019
Michael Walker,2019,JAX,7,2,15,7.5,2.1,9,0,1,3,7,9,0,Michael Walker 2019
Trevon Wesco,2019,NYJ,16,2,47,23.5,2.9,32,0,2,3,40,32,0,Trevon Wesco 2019
Zach Zenner,2019,NO/ARI,4,2,19,9.5,4.8,13,0,2,3,19,13,0,Zach Zenner 2019
Jamal Agnew,2019,DET,13,1,-2,-2,-0.1,-2,0,0,2,1,-2,0,Jamal Agnew 2019
Javorius Allen,2019,NYG,10,1,9,9,0.9,9,0,0,2,4,9,0,Javorius Allen 2019
Antony Auclair,2019,TB,8,1,11,11,1.4,11,0,1,3,8,11,0,Antony Auclair 2019
David Blough,2019,DET,5,1,19,19,3.8,19t,1,1,1,5,19,1,David Blough 2019
Garrett Bradbury,2019,MIN,16,1,-4,-4,-0.2,-4,0,0,1,0,-4,0,Garrett Bradbury 2019
Jacoby Brissett,2019,IND,15,1,2,2,0.1,2,0,0,1,2,2,0,Jacoby Brissett 2019
Ventell Bryant,2019,DAL,12,1,15,15,1.2,15t,1,1,1,0,15,1,Ventell Bryant 2019
Kevin Byard,2019,TEN,16,1,11,11,0.7,11,0,1,1,8,11,0,Kevin Byard 2019
Austin Carr,2019,NO,6,1,9,9,1.5,9,0,1,4,4,9,0,Austin Carr 2019
Sean Culkin,2019,LAC,4,1,12,12,3,12,0,1,2,0,12,0,Sean Culkin 2019
Andy Dalton,2019,CIN,13,1,-4,-4,-0.3,-4,0,0,1,4,-4,0,Andy Dalton 2019
Darrell Daniels,2019,ARI,11,1,4,4,0.4,4,0,1,3,0,4,0,Darrell Daniels 2019
Cody Davis,2019,JAX,16,1,7,7,0.4,7,0,1,1,5,7,0,Cody Davis 2019
Rashard Davis,2019,TEN,1,1,16,16,16,16,0,1,1,0,16,0,Rashard Davis 2019
Dion Dawkins,2019,BUF,16,1,1,1,0.1,1t,1,1,1,0,1,1,Dion Dawkins 2019
Michael Deiter,2019,MIA,16,1,0,0,0,0,0,0,1,0,0,0,Michael Deiter 2019
Jeff Driskel,2019,DET,3,1,6,6,2,6,0,0,1,9,6,0,Jeff Driskel 2019
Quincy Enunwa,2019,NYJ,1,1,-4,-4,-4,8,0,0,3,-4,8,0,Quincy Enunwa 2019
Zach Gentry,2019,PIT,4,1,4,4,1,4,0,1,1,2,4,0,Zach Gentry 2019
Cyril Grayson,2019,TB,2,1,3,3,1.5,3,0,0,1,1,3,0,Cyril Grayson 2019
Xavier Grimble,2019,PIT,3,1,3,3,1,3,0,0,3,2,3,0,Xavier Grimble 2019
Dwayne Harris,2019,OAK,3,1,7,7,2.3,7,0,0,1,7,7,0,Dwayne Harris 2019
Chris Herndon IV,2019,NYJ,1,1,7,7,7,7,0,0,2,5,7,0,Chris Herndon IV 2019
Krishawn Hogan,2019,NO,8,1,4,4,0.5,4,0,0,1,2,4,0,Krishawn Hogan 2019
Jakob Johnson,2019,NE,4,1,5,5,1.2,5,0,0,2,1,5,0,Jakob Johnson 2019
Charles Jones,2019,JAX,4,1,5,5,1.2,5,0,0,1,2,5,0,Charles Jones 2019
Taiwan Jones,2019,HOU,11,1,9,9,0.8,9,0,0,1,12,9,0,Taiwan Jones 2019
Dennis Kelly,2019,TEN,15,1,1,1,0.1,1t,1,1,1,0,1,1,Dennis Kelly 2019
Ben Koyack,2019,JAX,11,1,9,9,0.8,9,0,0,3,3,9,0,Ben Koyack 2019
Chris Manhertz,2019,CAR,15,1,11,11,0.7,11,0,1,1,9,11,0,Chris Manhertz 2019
Codey McElroy,2019,TB,1,1,30,30,30,30,0,1,1,0,30,0,Codey McElroy 2019
Kaleb McGary,2019,ATL,16,1,-3,-3,-0.2,-3,0,0,1,0,-3,0,Kaleb McGary 2019
Qadree Ollison,2019,ATL,8,1,7,7,0.9,7,0,1,2,3,7,0,Qadree Ollison 2019
Ricky Ortiz,2019,NO,1,1,8,8,8,8,0,0,1,7,8,0,Ricky Ortiz 2019
Paul Perkins,2019,DET,4,1,9,9,2.2,9,0,0,1,10,9,0,Paul Perkins 2019
Senorise Perry,2019,BUF,11,1,1,1,0.1,1,0,0,1,2,1,0,Senorise Perry 2019
David Quessenberry,2019,TEN,4,1,1,1,0.2,1t,1,1,1,0,1,1,David Quessenberry 2019
Elandon Roberts,2019,NE,16,1,38,38,2.4,38t,1,1,1,31,38,1,Elandon Roberts 2019
Ty Sambrailo,2019,ATL,13,1,35,35,2.7,35t,1,1,1,20,35,1,Ty Sambrailo 2019
Jason Sanders,2019,MIA,16,1,1,1,0.1,1t,1,1,1,0,1,1,Jason Sanders 2019
Bo Scarbrough,2019,DET,6,1,5,5,0.8,5,0,0,4,8,5,0,Bo Scarbrough 2019
Dalton Schultz,2019,DAL,16,1,6,6,0.4,6,0,0,2,1,6,0,Dalton Schultz 2019
Jaleel Scott,2019,BAL,3,1,6,6,2,6,0,0,3,6,6,0,Jaleel Scott 2019
Nick Scott,2019,LA,16,1,23,23,1.4,23,0,1,1,20,23,0,Nick Scott 2019
Darrius Shepherd,2019,GB,6,1,1,1,0.2,1,0,0,2,3,1,0,Darrius Shepherd 2019
Jeff Smith,2019,NYJ,1,1,12,12,12,12,0,1,2,0,12,0,Jeff Smith 2019
Keith Smith,2019,ATL,16,1,13,13,0.8,13,0,1,3,13,13,0,Keith Smith 2019
Tyrone Swoopes,2019,SEA,5,1,5,5,1,5,0,0,1,7,5,0,Tyrone Swoopes 2019
Wyatt Teller,2019,CLE,15,1,-5,-5,-0.3,-5,0,0,1,0,-5,0,Wyatt Teller 2019
De'Anthony Thomas,2019,KC,6,1,6,6,1,6,0,0,2,3,6,0,De'Anthony Thomas 2019
Jordan Thomas,2019,HOU,5,1,8,8,1.6,8,0,0,3,3,8,0,Jordan Thomas 2019
Eric Tomlinson,2019,NE,2,1,1,1,0.5,1,0,0,1,1,1,0,Eric Tomlinson 2019
John Ursua,2019,SEA,3,1,11,11,3.7,11,0,1,1,0,11,0,John Ursua 2019
Vita Vea,2019,TB,16,1,1,1,0.1,1t,1,1,1,0,1,1,Vita Vea 2019
Dwayne Washington,2019,NO,16,1,6,6,0.4,6,0,0,1,11,6,0,Dwayne Washington 2019
Deshaun Watson,2019,HOU,15,1,6,6,0.4,6t,1,1,1,6,6,1,Deshaun Watson 2019
Kerrith Whyte,2019,PIT,6,1,9,9,1.5,9,0,1,1,11,9,0,Kerrith Whyte 2019
Christian Wilkins,2019,MIA,16,1,1,1,0.1,1t,1,1,1,1,1,1,Christian Wilkins 2019
Jay Ajayi,2019,PHI,3,0,0,0,0,0,0,0,1,0,0,0,Jay Ajayi 2019
Michael Burton,2019,WAS,10,0,0,0,0,0,0,0,1,0,0,0,Michael Burton 2019
Kirk Cousins,2019,MIN,15,0,0,0,0,0,0,0,1,0,0,0,Kirk Cousins 2019
Dane Cruikshank,2019,TEN,16,0,0,0,0,0,0,0,1,0,0,0,Dane Cruikshank 2019
Dalyn Dawkins,2019,TEN,2,0,0,0,0,0,0,0,1,0,0,0,Dalyn Dawkins 2019
George Fant,2019,SEA,16,0,0,0,0,0,0,0,1,0,0,0,George Fant 2019
Travis Fulgham,2019,DET,3,0,0,0,0,0,0,0,3,0,0,0,Travis Fulgham 2019
Jalen Guyton,2019,LAC,3,0,0,0,0,0,0,0,2,0,0,0,Jalen Guyton 2019
Justin Hardee,2019,NO,16,0,0,0,0,0,0,0,1,0,0,0,Justin Hardee 2019
Lil'Jordan Humphrey,2019,NO,5,0,0,0,0,0,0,0,1,0,0,0,Lil'Jordan Humphrey 2019
Deon Lacey,2019,MIA,16,0,0,0,0,0,0,0,1,0,0,0,Deon Lacey 2019
David Long,2019,LA,8,0,0,0,0,0,0,0,1,0,0,0,David Long 2019
Baker Mayfield,2019,CLE,16,0,0,0,0,0,0,0,0,0,0,0,Baker Mayfield 2019
Jamize Olawale,2019,DAL,16,0,0,0,0,0,0,0,2,0,0,0,Jamize Olawale 2019
Jace Sternberger,2019,GB,6,0,0,0,0,0,0,0,1,0,0,0,Jace Sternberger 2019
Taywan Taylor,2019,CLE,3,0,0,0,0,0,0,0,1,0,0,0,Taywan Taylor 2019
Tyrod Taylor,2019,LAC,8,0,0,0,0,0,0,0,1,0,0,0,Tyrod Taylor 2019
Chad Williams,2019,IND,1,0,0,0,0,0,0,0,1,0,0,0,Chad Williams 2019
