Year,Rank,Player,Pos,Cl,Gm,Carries,Net,TDs,Avg,Ydspgm
2008,3,"Jahvid Best, California",RB,SO,12,194,1580,15,8.14,131.67
2008,4,"Javon Ringer, Michigan St.",RB,SR,13,390,1637,22,4.2,125.92
2008,5,"MiQuale Lewis, Ball St.",RB,JR,14,322,1736,22,5.39,124
2008,6,"Chris Wells, Ohio St.",RB,JR,10,207,1197,8,5.78,119.7
2008,7,"Kendall Hunter, Oklahoma St.",RB,SO,13,241,1555,16,6.45,119.62
2008,8,"Vai Taua, Nevada",RB,SO,13,236,1521,15,6.44,117
2008,9,"Tyrell Fenroy, La.-Lafayette",RB,SR,12,226,1375,19,6.08,114.58
2008,10,"LeSean McCoy, Pittsburgh",RB,SO,13,308,1488,21,4.83,114.46
2008,11,"Julian Edelman, Kent St.",QB,SR,12,215,1370,13,6.37,114.17
2008,12,"Jacquizz Rodgers, Oregon St.",RB,FR,11,259,1253,11,4.84,113.91
2008,13,"Gartrell Johnson III, Colorado St.",RB,SR,13,278,1476,12,5.31,113.54
2008,14,"Collin Mooney, Army",RB,SR,12,231,1339,8,5.8,111.58
2008,15,"James Starks, Buffalo",RB,JR,12,272,1333,16,4.9,111.08
2008,16,"Dennis Kennedy, Akron",RB,SR,12,239,1321,17,5.53,110.08
2008,17,"Damion Fletcher, Southern Miss.",RB,JR,12,219,1313,10,6,109.42
2008,18,"Tarrion Adams, Tulsa",RB,SR,14,247,1523,14,6.17,108.79
2008,19,"Devin Moore, Wyoming",RB,SR,12,249,1301,7,5.22,108.42
2008,20,"Knowshon Moreno, Georgia",RB,SO,13,250,1400,16,5.6,107.69
2008,21,"Jonathan Dwyer, Georgia Tech",RB,SO,13,200,1395,12,6.98,107.31
2008,22,"Michael Smith, Arkansas",RB,JR,10,207,1072,8,5.18,107.2
2008,23,"Rodney Ferguson, New Mexico",RB,SR,11,223,1105,13,4.96,100.45
2008,24,"Noel Devine, West Virginia",RB,SO,13,206,1289,4,6.26,99.15
2008,25,"Glen Coffee, Alabama",RB,JR,14,233,1383,10,5.94,98.79
2008,26,"Curtis Brinkley, Syracuse",RB,SR,12,237,1164,7,4.91,97
2008,27,"Bryce Beall, Houston",RB,FR,13,198,1247,13,6.3,95.92
2008,28,"Evan Royster, Penn St.",RB,SO,13,191,1236,12,6.47,95.08
2008,29,"Toby Gerhart, Stanford",RB,JR,12,210,1136,15,5.41,94.67
2008,30,"Da'Rel Scott, Maryland",RB,SO,12,209,1133,8,5.42,94.42
2008,31,"Kory Sheets, Purdue",RB,SR,12,234,1131,16,4.83,94.25
2008,32,"Michael Desormeaux, La.-Lafayette",QB,SR,11,144,1035,5,7.19,94.09
2008,33,"Curtis Steele, Memphis",RB,JR,13,218,1223,7,5.61,94.08
2008,34,"Jeremiah Johnson, Oregon",RB,SR,13,168,1201,13,7.15,92.38
2008,35,"Darius Marshall, Marshall",RB,SO,12,224,1099,5,4.91,91.58
2008,36,"Darren Evans, Virginia Tech",RB,FR,14,287,1265,11,4.41,90.36
2008,37,"Charles Scott, LSU",RB,JR,13,217,1174,18,5.41,90.31
2008,38,"Daniel Porter, Louisiana Tech",RB,JR,13,222,1164,9,5.24,89.54
2008,39,"Reggie Arnold, Arkansas St.",RB,JR,12,197,1074,7,5.45,89.5
2008,40,"P.J. Hill, Wisconsin",RB,JR,13,226,1161,13,5.14,89.31
2008,41,"Eugene Jarvis, Kent St.",RB,JR,9,165,801,9,4.85,89
2008,42,"Nicolas Grigsby, Arizona",RB,SO,13,214,1153,13,5.39,88.69
2008,43,"Vic Anderson, Louisville",RB,FR,12,183,1047,8,5.72,87.25
2008,44,"Chris Brown, Oklahoma",RB,JR,14,217,1220,20,5.62,87.14
2008,45,"Harvey Unga, BYU",RB,SO,13,240,1132,11,4.72,87.08
2008,46,"Colin Kaepernick, Nevada",QB,SO,13,161,1130,17,7.02,86.92
2008,47,"Brandon West, Western Mich.",RB,JR,12,204,1026,8,5.03,85.5
2008,48,"Joe Webb, UAB",QB,JR,12,198,1021,11,5.16,85.08
2008,49,"Morgan Williams, Toledo",RB,FR,12,169,1010,6,5.98,84.17
2008,50,"Shun White, Navy",RB,SR,13,132,1092,8,8.27,84
2008,51,"DuJuan Harris, Troy",RB,SO,13,210,1077,11,5.13,82.85
2008,52,"Pat White, West Virginia",QB,SR,12,191,974,8,5.1,81.17
2008,53,"Charles Pierre, Fla. Atlantic",RB,SR,13,161,1014,8,6.3,78
2008,54,"Cam Montgomery, North Texas",RB,JR,12,170,928,9,5.46,77.33
2008,55,"LeGarrette Blount, Oregon",RB,JR,13,137,1002,17,7.31,77.08
2008,55,"DeMarco Murray, Oklahoma",RB,SO,13,179,1002,14,5.6,77.08
2008,57,"Eric Kettani, Navy",RB,SR,13,190,982,4,5.17,75.54
2008,58,"Derrick Washington, Missouri",RB,SO,14,177,1036,17,5.85,74
2008,59,"Anthony Dixon, Mississippi St.",RB,JR,12,197,869,7,4.41,72.42
2008,60,"Jay Finley, Baylor",RB,SO,12,149,865,7,5.81,72.08
2008,61,"Frank Goodin, La.-Monroe",RB,SO,11,182,783,5,4.3,71.18
2008,62,"Cedric Peerman, Virginia",RB,SR,11,153,774,7,5.06,70.36
2008,63,"Robert Griffin, Baylor",QB,FR,12,173,843,13,4.87,70.25
2008,64,"DaJuane Collins, Toledo",RB,JR,10,127,700,5,5.51,70
2008,65,"Montel Harris, Boston College",RB,FR,13,179,900,5,5.03,69.23
2008,66,"Rodney Stewart, Colorado",RB,FR,9,132,622,2,4.71,69.11
2008,67,"John Clay, Wisconsin",RB,FR,13,155,884,9,5.7,68
2008,68,"Lonyae Miller, Fresno St.",RB,JR,12,120,812,7,6.77,67.67
2008,69,"Shaun Draughn, North Carolina",RB,SO,13,198,866,3,4.37,66.62
2008,70,"Jake Sharp, Kansas",RB,JR,13,186,860,12,4.62,66.15
2008,71,"Graig Cooper, Miami (Fla.)",RB,SO,13,171,841,4,4.92,64.69
2008,72,"Alexander Robinson, Iowa St.",RB,SO,11,153,703,6,4.59,63.91
2008,73,"Anthony Harding, Fresno St.",RB,JR,13,147,822,6,5.59,63.23
2008,74,"Josh Nesbitt, Georgia Tech",QB,SO,11,172,693,7,4.03,63
2008,75,"C.J. Ugokwe, Rice",RB,JR,13,167,809,2,4.84,62.23
2008,76,"Roy Helu Jr., Nebraska",RB,SO,13,125,803,7,6.42,61.77
2008,77,"Frank Summers, UNLV",RB,SR,12,183,740,8,4.04,61.67
2008,78,"Tyrod Taylor, Virginia Tech",QB,SO,12,147,738,7,5.02,61.5
2008,79,"Antone Smith, Florida St.",RB,SR,13,177,792,15,4.47,60.92
2008,80,"Daniel Dufrene, Illinois",RB,JR,11,117,663,0,5.67,60.27
2008,81,"Juice Williams, Illinois",QB,JR,12,175,719,5,4.11,59.92
2008,82,"Joe McKnight, Southern California",RB,SO,11,89,659,2,7.4,59.91
2008,83,"Jeremiah Masoli, Oregon",QB,SO,12,127,718,10,5.65,59.83
2008,84,"Anthony Kimble, Stanford",RB,SR,12,120,717,6,5.98,59.75
2008,85,"Phillip Tanner, Middle Tenn. St.",RB,JR,12,188,714,15,3.8,59.5
2008,86,"Andre Brown, North Carolina St.",RB,SR,13,175,767,7,4.38,59
2008,87,"Ian Johnson, Boise St.",RB,SR,13,150,766,13,5.11,58.92
2008,88,"Baron Batch, Texas Tech",RB,SO,13,113,758,7,6.71,58.31
2008,89,"Deonte Jackson, Idaho",RB,SO,12,161,696,3,4.32,58
2008,90,"Derek Lawson, Arkansas St.",RB,FR,12,97,695,4,7.16,57.92
2008,91,"James Davis, Clemson",RB,SR,13,171,751,11,4.39,57.77
2008,92,"Yonus Davis, San Jose St.",RB,SR,10,120,558,3,4.65,55.8
2008,93,"Ben Tate, Auburn",RB,JR,12,159,664,3,4.18,55.33
2008,94,"Shannon Woods, Texas Tech",RB,SR,13,141,716,12,5.08,55.08
2008,95,"Shane Vereen, California",RB,FR,13,142,715,4,5.04,55
2008,95,"Percy Harvin, Florida",WR,JR,12,70,660,10,9.43,55
2008,97,"Aaron Brown, TCU",RB,SR,10,99,547,3,5.53,54.7
2008,97,"Thomas Merriweather, Miami (Ohio)",RB,SO,10,140,547,4,3.91,54.7
2008,99,"Matt Asiata, Utah",RB,JR,13,146,707,12,4.84,54.38
2008,100,"Stafon Johnson, Southern California",RB,JR,13,138,705,9,5.11,54.23
